Solution Type,lambda,f1,f2,f3,Index in Pareto Front
Pareto Front Solution 308,0.976796144887409,0.9997866261717352,1.3603388710832765e-06,0.0004218400485602728,308
Pareto Front Solution 309,0.2161292727617545,0.9676338364065762,0.0005702656763312841,0.06386981026604469,309
Pareto Front Solution 310,0.5269537144968912,0.9918261314506494,7.455749475339846e-05,0.016152924760569044,310
Pareto Front Solution 311,0.042299010689819554,0.8231103527623551,0.013052192006089654,0.3441897137916905,311
Pareto Front Solution 312,0.16868955388762238,0.9564428617835433,0.0009421374874581419,0.0858902657772113,312
Pareto Front Solution 313,0.7890043789437391,0.9975564865447539,1.7452153781403408e-05,0.004830266382023389,313
Pareto Front Solution 314,0.1538565774483809,0.9515953164189296,0.0011318625450328751,0.09541718870502783,314
Pareto Front Solution 315,0.732898691699703,0.9966707727632187,2.47938499033003e-05,0.006580813619819353,315
Pareto Front Solution 316,0.2720690832680618,0.9759542254842356,0.000352759099047022,0.04747522189683962,316
Pareto Front Solution 317,0.1580084928654873,0.9530396394603531,0.0010735078951789232,0.09257941011001687,317
Pareto Front Solution 318,0.8981773585964953,0.9989655004913396,6.887191603196663e-06,0.0020451186662002294,318
Pareto Front Solution 319,0.004585860292427653,0.26114137890477357,0.3473623613249039,1.0,319
Pareto Front Solution 320,0.394374003619743,0.9860815076087034,0.00015475070019041156,0.02749649600284305,320
Pareto Front Solution 321,0.4075892632902387,0.9868186988187322,0.00014316704975202927,0.026041229874793514,321
Pareto Front Solution 322,0.8784122938906413,0.9987361462267796,8.51377542519192e-06,0.002498503058487177,322
Pareto Front Solution 323,0.0970488168987129,0.9203382657570873,0.0027826323868873934,0.15665586690433178,323
Pareto Front Solution 324,0.8124708050557169,0.9978909988977867,1.4820141445005204e-05,0.004169084999183749,324
Pareto Front Solution 325,0.03878479265345412,0.8090679388000406,0.01523763325765451,0.3707736318126669,325
Pareto Front Solution 326,0.6334125655209903,0.9947190788636616,4.2884611167540226e-05,0.010437606072265886,326
Pareto Front Solution 327,0.2587078688633256,0.9742845003743268,0.0003924148639322332,0.050766732943938436,327
Pareto Front Solution 328,0.4417283585857077,0.9885224377114838,0.00011785483661026857,0.022677451688165602,328
Pareto Front Solution 329,0.9733836005916399,0.9997537163932061,1.572934802665818e-06,0.00048690185305881644,329
Pareto Front Solution 330,0.4750968766650897,0.9899548743143644,9.814597779339423e-05,0.01984880670907674,330
Pareto Front Solution 331,0.14873157156755615,0.9497067834337163,0.0012105121469901657,0.09912674888522227,331
Pareto Front Solution 332,0.07894169688946426,0.9017668045890155,0.004125492257726277,0.19286096097533353,332
Pareto Front Solution 333,0.8513177215008673,0.9984045892553073,1.0929175615563107e-05,0.0031539011942732817,333
Pareto Front Solution 334,0.20389303864421499,0.9652274966856496,0.0006425007134862078,0.06860779006311758,334
Pareto Front Solution 335,0.6646217280263257,0.9953935089660804,3.633518492561983e-05,0.00910493907814698,335
Pareto Front Solution 336,0.6226734863647991,0.9944715641887671,4.536726608610765e-05,0.010926668083795329,336
Pareto Front Solution 337,0.7722413655079611,0.9973052055576199,1.9480029865080125e-05,0.005326921209502188,337
Pareto Front Solution 338,0.5615949120987689,0.9928862349535051,6.227632628636247e-05,0.014058791784798672,338
Pareto Front Solution 339,0.643689712895546,0.9949483047215828,4.0623254130426874e-05,0.009984669038969348,339
Pareto Front Solution 340,0.4865843407914441,0.9904032550229426,9.227134920636737e-05,0.01896329029522311,340
Pareto Front Solution 341,0.21543780880567895,0.9675048898716543,0.000574029816288069,0.0641237412576949,341
Pareto Front Solution 342,0.7563625450742669,0.9970570099779249,2.1525762806449846e-05,0.005817464788465219,342
Pareto Front Solution 343,0.36093051754486927,0.9839797917154535,0.0001898740675219182,0.031644728330332515,343
Pareto Front Solution 344,0.7661970795041463,0.9972119302859686,2.0243859257245633e-05,0.005511275665716071,344
Pareto Front Solution 345,0.12028950805483486,0.9364782658099747,0.0018367391159149445,0.12507792541212553,345
Pareto Front Solution 346,0.300552522345377,0.9790305764234546,0.00028491243393928616,0.04140898161200239,346
Pareto Front Solution 347,0.44932813607127264,0.988867073591748,0.00011298191086854923,0.021996938731062954,347
Pareto Front Solution 348,0.3852021724894981,0.9855407207039933,0.00016349107903890965,0.028563965923861998,348
Pareto Front Solution 349,0.38095947516643797,0.9852819300978264,0.00016774651981176522,0.02907477354669365,349
Pareto Front Solution 350,0.5878849239669505,0.9936084648139443,5.435673767207541e-05,0.012631954997870943,350
Pareto Front Solution 351,0.9035423249895168,0.9990260388246864,6.463889550487596e-06,0.0019254455058561185,351
Pareto Front Solution 352,0.1779713089960769,0.9590823259282959,0.0008461495097975983,0.08069989054667535,352
Pareto Front Solution 353,0.07717555023839118,0.8995316015558581,0.004305886066580274,0.19720825835964076,353
Pareto Front Solution 354,0.7978279328363286,0.9976845521317621,1.6435394701002064e-05,0.004577140720415707,354
Pareto Front Solution 355,0.21286045588915284,0.9670171339836557,0.0005883772714494692,0.06508422442646533,355
Pareto Front Solution 356,0.0492146170691612,0.8456929649555662,0.00992729333592658,0.30113215837451257,356
Pareto Front Solution 357,0.14639286772383944,0.9488032538665843,0.001249083677273911,0.1009011084289651,357
Pareto Front Solution 358,0.3679315015474702,0.9844507307502732,0.00018173335918167627,0.03071530968915897,358
Pareto Front Solution 359,0.7630234889442324,0.9971623697762819,2.0652151190552582e-05,0.005609229083972001,359
Pareto Front Solution 360,0.6293865524089176,0.9946272649250096,4.3800582824691985e-05,0.010619021940830977,360
Pareto Front Solution 361,0.569102867094706,0.9930992069488948,5.9903323510209675e-05,0.013638056282994535,361
Pareto Front Solution 362,0.44624901560055075,0.9887288316689286,0.00011492657742188752,0.02226991245292411,362
Pareto Front Solution 363,0.586621201762389,0.9935752101555785,5.471343594868771e-05,0.012697655369265839,363
Pareto Front Solution 364,0.44525123949329404,0.9886836317556641,0.00011556531133564536,0.02235916365763254,364
Pareto Front Solution 365,0.7119223249279457,0.9963041585685852,2.799119446814523e-05,0.007305350991943475,365
Pareto Front Solution 366,0.6960367840514127,0.9960119764418398,3.0605894077553295e-05,0.007882768396186138,366
Pareto Front Solution 367,0.7960072894797973,0.9976583574526122,1.664244389037255e-05,0.004628915606005225,367
Pareto Front Solution 368,0.846642830619446,0.9983452552150628,1.1369408931750864e-05,0.0032711860896163128,368
Pareto Front Solution 369,0.275881589316868,0.9764018155686428,0.00034246797195505035,0.04659277053005601,369
Pareto Front Solution 370,0.9680697467907778,0.9997020125366045,1.908442527609112e-06,0.00058911863088884,370
Pareto Front Solution 371,0.8145703497941975,0.9979199972236796,1.459560935704262e-05,0.004111767175049413,371
Pareto Front Solution 372,0.8271066432749958,0.9980901093832844,1.329011162074778e-05,0.0037755215266302147,372
Pareto Front Solution 373,0.5367245875280428,0.9921388028332998,7.085395132899703e-05,0.01553529807246869,373
Pareto Front Solution 374,0.39106978956166855,0.9858895520729932,0.0001578296061510956,0.027875408647616534,374
Pareto Front Solution 375,0.9175914552793901,0.9991812431229647,5.390169890218653e-06,0.001618631688396549,375
Pareto Front Solution 376,0.2062880049078922,0.9657201412062868,0.0006273694279391034,0.06763792573615547,376
Pareto Front Solution 377,0.47107047047558637,0.9897926224732366,0.00010030637081819094,0.020169230122588665,377
Pareto Front Solution 378,0.8215734259288585,0.9980156600485925,1.3859007257865042e-05,0.003922679676263397,378
Pareto Front Solution 379,0.41945552903280653,0.9874417720439369,0.00013367408894980888,0.02481114223533546,379
Pareto Front Solution 380,0.03416514572766073,0.7870354470835121,0.019056024367863984,0.4121540805729516,380
Pareto Front Solution 381,0.3443715731178343,0.9827913760639374,0.00021111299269464885,0.0339898829726033,381
Pareto Front Solution 382,0.49364888943389723,0.9906687961466529,8.885841433069465e-05,0.01843884635137434,382
Pareto Front Solution 383,0.32149546993997613,0.980952919573527,0.0002459366430557503,0.03761712160429986,383
Pareto Front Solution 384,0.3583959148034686,0.9838048544747086,0.0001929378990285721,0.03198996113635795,384
Pareto Front Solution 385,0.8607323911555412,0.998522142249776,1.0064140799639558e-05,0.0029215334305723395,385
Pareto Front Solution 386,0.8396875015200859,0.9982557661037612,1.2037965554528269e-05,0.003448076778620634,386
Pareto Front Solution 387,0.6192817450451175,0.9943916293738636,4.61781086782395e-05,0.011084607748173365,387
Pareto Front Solution 388,0.010721881788567124,0.5070477385473486,0.12062654624377657,0.8719918062753695,388
Pareto Front Solution 389,0.022103379669610256,0.6975170904436947,0.03991720337896595,0.5750123506724065,389
Pareto Front Solution 390,0.6511184071851638,0.9951095444758268,3.905439407676121e-05,0.00966606186954412,390
Pareto Front Solution 391,0.5251248283368745,0.9917663323544295,7.527355747535407e-05,0.016271044778401078,391
Pareto Front Solution 392,0.5541503691961666,0.9926694418198374,6.472427847715811e-05,0.014487065929621293,392
Pareto Front Solution 393,0.8534128374763696,0.998430971553714,1.0734208735395885e-05,0.0031017513832209136,393
Pareto Front Solution 394,0.7434527306851973,0.9968474880504812,2.328582079452745e-05,0.00623156217431243,394
Pareto Front Solution 395,0.6825807250916335,0.9957539594257891,3.296392197177258e-05,0.008392652839988916,395
Pareto Front Solution 396,0.8818139304444471,0.9987763450316739,8.226068990239188e-06,0.00241903939058333,396
